i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
1.5e-05,1.2375,1.2375,1.10464947,2.88058893e-05,1.90440271e-05,3.09125388e-05,1.477368e-05,2.77763865e-05,2339433320.0,1.88012644,0.132850531,1.80493749,1e-06,1e-05,ff
2e-05,1.2375,1.2375,1.26725715,3.13092503e-05,1.90440271e-05,3.09125388e-05,1.92835167e-05,2.6964381e-05,2409883020.0,1.39831242,0.0297571505,1.75217255,1e-06,1e-05,ff
2.5e-05,1.2375,1.2375,1.41926671,3.29517235e-05,1.90440271e-05,3.09125388e-05,2.31200751e-05,2.32467097e-05,2795277480.0,1.00547726,0.181766712,1.51059454,1e-06,1e-05,ff
3e-05,1.2375,1.2375,1.56489049,3.39970295e-05,1.90440271e-05,3.09125388e-05,2.62200373e-05,1.93300518e-05,3361657010.0,0.737224421,0.327390489,1.25608618,1e-06,1e-05,ff
5e-06,1.65,1.2375,0.698379116,1.85171689e-05,3.23676362e-05,3.20164689e-05,5.03900705e-06,1.86339677e-05,2051770990.0,3.69794436,0.951620884,0.712425676,1e-06,1e-05,ff
1e-05,1.65,1.2375,0.923459262,2.49613249e-05,3.23676362e-05,3.20164689e-05,9.96817971e-06,2.48194129e-05,1540432670.0,2.48986411,0.726540738,0.948911538,1e-06,1e-05,ff
1.5e-05,1.65,1.2375,1.10464947,2.88058893e-05,3.23676362e-05,3.20164689e-05,1.477368e-05,2.77763865e-05,1376443780.0,1.88012644,0.545350531,1.06196443,1e-06,1e-05,ff
2e-05,1.65,1.2375,1.26725715,3.13092503e-05,3.23676362e-05,3.20164689e-05,1.92835167e-05,2.6964381e-05,1417894010.0,1.39831242,0.38274285,1.03091932,1e-06,1e-05,ff
2.5e-05,1.65,1.2375,1.41926671,3.29517235e-05,3.23676362e-05,3.20164689e-05,2.31200751e-05,2.32467097e-05,1644647130.0,1.00547726,0.230733288,0.888782953,1e-06,1e-05,ff
3e-05,1.65,1.2375,1.56489049,3.39970295e-05,3.23676362e-05,3.20164689e-05,2.62200373e-05,1.93300518e-05,1977885770.0,0.737224421,0.0851095113,0.739038804,1e-06,1e-05,ff
5e-06,0.4125,0.825,0.698379097,1.85171683e-05,1.11905116e-06,8.53553327e-06,5.03900671e-06,1.86339671e-05,39563862300.0,3.6979445,0.285879097,13.7375515,1e-06,1e-05,ff
1e-05,0.4125,0.825,0.923459262,2.49613249e-05,1.11905116e-06,8.53553327e-06,9.96817972e-06,2.48194129e-05,29703833600.0,2.4898641,0.510959262,18.2976582,1e-06,1e-05,ff
1.5e-05,0.4125,0.825,1.10464947,2.88058893e-05,1.11905116e-06,8.53553327e-06,1.477368e-05,2.77763865e-05,26541670900.0,1.88012644,0.692149469,20.477633,1e-06,1e-05,ff
2e-05,0.4125,0.825,1.26725715,3.13092503e-05,1.11905116e-06,8.53553327e-06,1.92835167e-05,2.6964381e-05,27340946900.0,1.39831242,0.85475715,19.8789968,1e-06,1e-05,ff
2.5e-05,0.4125,0.825,1.41926671,3.29517235e-05,1.11905116e-06,8.53553327e-06,2.31200751e-05,2.32467097e-05,31713378800.0,1.00547726,1.00676671,17.1382116,1e-06,1e-05,ff
3e-05,0.4125,0.825,1.56489049,3.39970295e-05,1.11905116e-06,8.53553327e-06,2.62200373e-05,1.93300518e-05,38139148200.0,0.737224421,1.15239049,14.2507272,1e-06,1e-05,ff
5e-06,0.825,0.825,0.698379116,1.85171689e-05,7.64137932e-06,2.23684025e-05,5.03900706e-06,1.86339677e-05,5793978120.0,3.69794436,0.126620884,2.01181262,1e-06,1e-05,ff
1e-05,0.825,0.825,0.923459262,2.49613249e-05,7.64137932e-06,2.23684025e-05,9.96817971e-06,2.48194129e-05,4350014320.0,2.48986411,0.0984592617,2.67962298,1e-06,1e-05,ff
1.5e-05,0.825,0.825,1.10464947,2.88058893e-05,7.64137932e-06,2.23684025e-05,1.477368e-05,2.77763865e-05,3886927520.0,1.88012644,0.279649469,2.99887205,1e-06,1e-05,ff
2e-05,0.825,0.825,1.26725715,3.13092503e-05,7.64137932e-06,2.23684025e-05,1.92835167e-05,2.6964381e-05,4003978480.0,1.39831242,0.44225715,2.91120404,1e-06,1e-05,ff
2.5e-05,0.825,0.825,1.41926671,3.29517235e-05,7.64137932e-06,2.23684025e-05,2.31200751e-05,2.32467097e-05,4644304620.0,1.00547726,0.594266712,2.50982639,1e-06,1e-05,ff
3e-05,0.825,0.825,1.56489049,3.39970295e-05,7.64137932e-06,2.23684025e-05,2.62200373e-05,1.93300518e-05,5585334290.0,0.737224421,0.739890489,2.0869652,1e-06,1e-05,ff
5e-06,1.2375,0.825,0.698379116,1.85171689e-05,1.84735593e-05,2.74332737e-05,5.03900706e-06,1.86339677e-05,2396613660.0,3.69794436,0.539120884,0.832163586,1e-06,1e-05,ff
1e-05,1.2375,0.825,0.923459262,2.49613249e-05,1.84735593e-05,2.74332737e-05,9.96817971e-06,2.48194129e-05,1799334330.0,2.48986411,0.314040738,1.1083958,1e-06,1e-05,ff
1.5e-05,1.2375,0.825,1.10464947,2.88058893e-05,1.84735593e-05,2.74332737e-05,1.477368e-05,2.77763865e-05,1607783700.0,1.88012644,0.132850531,1.24044958,1e-06,1e-05,ff
2e-05,1.2375,0.825,1.26725715,3.13092503e-05,1.84735593e-05,2.74332737e-05,1.92835167e-05,2.6964381e-05,1656200510.0,1.39831242,0.0297571505,1.2041867,1e-06,1e-05,ff
2.5e-05,1.2375,0.825,1.41926671,3.29517235e-05,1.84735593e-05,2.74332737e-05,2.31200751e-05,2.32467097e-05,1921064190.0,1.00547726,0.181766712,1.03816136,1e-06,1e-05,ff
3e-05,1.2375,0.825,1.56489049,3.39970295e-05,1.84735593e-05,2.74332737e-05,2.62200373e-05,1.93300518e-05,2310310490.0,0.737224421,0.327390489,0.863249603,1e-06,1e-05,ff
