i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
3e-05,0.4125,0.825,1.12471602,6.31996513e-05,1.15141825e-06,1.2187516e-05,2.9465731e-05,6.15774575e-05,11635876100.0,2.08979908,0.712216023,44.1207203,1e-06,4e-06,ss
5e-06,0.825,0.825,0.608222462,2.80656135e-05,1.31832175e-05,4.53573342e-05,5.1198472e-06,2.85194528e-05,2194276440.0,5.57037187,0.216777538,1.78473491,1e-06,4e-06,ss
1e-05,0.825,0.825,0.751922484,3.98631993e-05,1.31832175e-05,4.53573342e-05,1.00601631e-05,4.00425947e-05,1562824890.0,3.98031267,0.0730775161,2.5058481,1e-06,4e-06,ss
1.5e-05,0.825,0.825,0.863169259,4.80595166e-05,1.31832175e-05,4.53573342e-05,1.49644204e-05,4.79526306e-05,1305028790.0,3.2044429,0.0381692594,3.00085469,1e-06,4e-06,ss
2e-05,0.825,0.825,0.95864761,5.42773302e-05,1.31832175e-05,4.53573342e-05,1.9831099e-05,5.38402463e-05,1162319420.0,2.71494012,0.13364761,3.36929911,1e-06,4e-06,ss
2.5e-05,0.825,0.825,1.04481514,5.92053476e-05,1.31832175e-05,4.53573342e-05,2.46694449e-05,5.8314881e-05,1073131980.0,2.36385056,0.21981514,3.64931981,1e-06,4e-06,ss
3e-05,0.825,0.825,1.12471602,6.31996513e-05,1.31832175e-05,4.53573342e-05,2.9465731e-05,6.15774575e-05,1016273910.0,2.08979908,0.299716023,3.85349042,1e-06,4e-06,ss
5e-06,1.2375,0.825,0.608222462,2.80656135e-05,3.65803952e-05,6.40981321e-05,5.1198472e-06,2.85194528e-05,790795823.0,5.57037187,0.629277538,0.64320105,1e-06,4e-06,ss
1e-05,1.2375,0.825,0.751922484,3.98631993e-05,3.65803952e-05,6.40981321e-05,1.00601631e-05,4.00425947e-05,563226843.0,3.98031267,0.485577516,0.903083207,1e-06,4e-06,ss
1.5e-05,1.2375,0.825,0.863169259,4.80595166e-05,3.65803952e-05,6.40981321e-05,1.49644204e-05,4.79526306e-05,470319644.0,3.2044429,0.374330741,1.08147876,1e-06,4e-06,ss
2e-05,1.2375,0.825,0.95864761,5.42773302e-05,3.65803952e-05,6.40981321e-05,1.9831099e-05,5.38402463e-05,418888578.0,2.71494012,0.27885239,1.21426253,1e-06,4e-06,ss
2.5e-05,1.2375,0.825,1.04481514,5.92053476e-05,3.65803952e-05,6.40981321e-05,2.46694449e-05,5.8314881e-05,386746295.0,2.36385056,0.19268486,1.31517925,1e-06,4e-06,ss
